id,doi,title,display_name,authors,author_affiliations,publication_year,publication_date,language,type,cited_by_count,fwci,versions,is_retracted,open_access_status,updated_date,created_date,primary_topic,primary_topic_field,primary_topic_subfield,primary_topic_domain,paper_license,grants_funder,normalized_url,platform,projectId
https://openalex.org/W2957979061,https://doi.org/10.5334/joh.15,CubeFactory2 – an Off-Grid and Circular 3D-Printing Mini-Factory,CubeFactory2 – an Off-Grid and Circular 3D-Printing Mini-Factory,Bernd Muschard; Jérémy Bonvoisin,University of Bath,2019,2019-01-01,en,article,5,0.232,[],False,gold,2025-08-18T16:03:59.924614,2019-07-23,Additive Manufacturing and 3D Printing Technologies,Engineering,Automotive Engineering,Physical Sciences,cc-by,,10.5334/joh.15,joh,feb7fd38-bbe3-5484-819f-50f3a3daeb4a
https://openalex.org/W3103110381,https://doi.org/10.5334/joh.2,Arduino-Like Development Kit for Single-Element Ultrasound Imaging,Arduino-Like Development Kit for Single-Element Ultrasound Imaging,Luc Jonveaux,Independent Dance,2017,2017-03-21,en,article,6,0.429,"['https://openalex.org/W2560649852', 'https://openalex.org/W3103110381']",False,gold,2025-08-19T04:50:50.391681,2020-11-23,Ultrasound Imaging and Elastography,Medicine,"Radiology, Nuclear Medicine and Imaging",Health Sciences,cc-by,,10.5334/joh.2,joh,0e8b8604-c065-5e41-b6d0-9b81bc13e5a3
https://openalex.org/W3125029996,https://doi.org/10.5334/joh.32,OptoGenie: an open-source device for the optogenetic stimulation of cells,OptoGenie: an open-source device for the optogenetic stimulation of cells,Miranda Robbins; Omid Siddiqui; Tanja Fuchsberger; Gemma Goodfellow; Ole Paulsen; Clemens F. Kaminski; T. G. Euser; Gabriele S. Kaminski Schierle,University of Cambridge; University of Cambridge; University of Cambridge; University of Cambridge; University of Cambridge; University of Cambridge; University of Cambridge; University of Cambridge,2021,2021-01-01,en,article,2,0.106,[],False,gold,2025-08-17T21:41:29.412977,2021-02-01,Photoreceptor and optogenetics research,Neuroscience,Cellular and Molecular Neuroscience,Life Sciences,cc-by,,10.5334/joh.32,joh,a942b691-152a-57c8-b682-15b670346b67
https://openalex.org/W4319966473,https://doi.org/10.5334/joh.48,"SnapperGPS: Open Hardware for Energy-Efficient, Low-Cost Wildlife Location Tracking with Snapshot GNSS","SnapperGPS: Open Hardware for Energy-Efficient, Low-Cost Wildlife Location Tracking with Snapshot GNSS",Jonas Beuchert; Amanda Matthes; Alex Rogers,University of Oxford; University of Oxford; University of Oxford,2023,2023-01-01,en,article,4,0.655,[],False,gold,2025-08-19T10:48:29.087514,2023-02-11,Indoor and Outdoor Localization Technologies,Engineering,Electrical and Electronic Engineering,Physical Sciences,cc-by,,10.5334/joh.48,joh,e3a94e6e-7ccf-58bf-97e2-6ca207918f1c
https://openalex.org/W4315700750,https://doi.org/10.5334/joh.53,MACARONS: A Modular and Open-Sourced Automation System for Vertical Farming,MACARONS: A Modular and Open-Sourced Automation System for Vertical Farming,Vijja Wichitwechkarn; Charles Fox,University of Lincoln; University of Lincoln,2023,2023-01-01,en,article,4,0.944,[],False,gold,2025-08-16T22:03:10.085761,2023-01-12,Urban Agriculture and Sustainability,Agricultural and Biological Sciences,Plant Science,Life Sciences,cc-by,,10.5334/joh.53,joh,c184c7ae-90e2-5676-9134-043d2d7e9a55
https://openalex.org/W4400353732,https://doi.org/10.5206/joh.v8i1.18995,Fully Automated Spotting Device for Thin-Layer Chromatography based on the Modification of a 3D Printer,Fully Automated Spotting Device for Thin-Layer Chromatography based on the Modification of a 3D Printer,Jochen M. Neumaier; Anna-Lena Renz; Florian Menzel,University of Tübingen; University of Tübingen; University of Tübingen,2024,2024-07-05,en,article,0,0.0,[],False,gold,2025-08-16T02:55:42.301321,2024-07-06,Analytical Chemistry and Chromatography,Chemistry,Spectroscopy,Physical Sciences,cc-by,,10.5206/joh.v8i1.18995,joh,f36e2fae-c6eb-578a-96dc-f8d24a9ce6db
https://openalex.org/W4403750084,https://doi.org/10.5206/joh.v8i1.20392,A multi-channel vibrotactile speaker system for a more equally shared musical experience between the deaf and the hearing individuals,A multi-channel vibrotactile speaker system for a more equally shared musical experience between the deaf and the hearing individuals,Alban Briceno,Université de Lille,2024,2024-10-25,en,article,0,0.0,[],False,gold,2025-08-20T07:44:45.392525,2024-10-25,Tactile and Sensory Interactions,Neuroscience,Cognitive Neuroscience,Life Sciences,cc-by,,10.5206/joh.v8i1.20392,joh,df057b4b-1db7-597c-882c-ef696d01cf62
https://openalex.org/W2936059815,https://doi.org/10.5334/joh.12,3D-Printable Model of a Particle Trap: Development and Use in the Physics Classroom,3D-Printable Model of a Particle Trap: Development and Use in the Physics Classroom,Lachlan McGinness; Susanne Dührkoop; Alexandra Jansky; Oliver Keller; Ankatrin Lorenz; S. Schmeling; K. Wendt; Julia Woithe,European Organization for Nuclear Research,2019,2019-01-01,en,article,9,0.346,[],False,gold,2025-08-19T09:25:36.296699,2019-04-25,Experimental and Theoretical Physics Studies,Physics and Astronomy,Statistical and Nonlinear Physics,Physical Sciences,cc-by,,10.5334/joh.12,joh,91e2d502-25bc-5343-80f6-2e11d6a8a4ab
https://openalex.org/W2957979061,https://doi.org/10.5334/joh.15,CubeFactory2 – an Off-Grid and Circular 3D-Printing Mini-Factory,CubeFactory2 – an Off-Grid and Circular 3D-Printing Mini-Factory,Bernd Muschard; Jérémy Bonvoisin,University of Bath,2019,2019-01-01,en,article,5,0.232,[],False,gold,2025-08-18T16:03:59.924614,2019-07-23,Additive Manufacturing and 3D Printing Technologies,Engineering,Automotive Engineering,Physical Sciences,cc-by,,10.5334/joh.15,joh,feb7fd38-bbe3-5484-819f-50f3a3daeb4a
https://openalex.org/W2979052704,https://doi.org/10.5334/joh.17,Vibration Alert Bracelet for Notification of the Visually and Hearing Impaired,Vibration Alert Bracelet for Notification of the Visually and Hearing Impaired,Kelsey Conley; Alex Foyer; Patrick Hara; Tom Janik; Jason Reichard; Joyce Dsouza; Chandana Tamma; Cristinel Ababei,Marquette University; Marquette University; Marquette University; Marquette University; Marquette University; Marquette University; Marquette University; Marquette University,2019,2019-01-01,en,article,5,0.458,[],False,gold,2025-08-18T09:31:28.148075,2019-10-10,Tactile and Sensory Interactions,Neuroscience,Cognitive Neuroscience,Life Sciences,cc-by,,10.5334/joh.17,joh,5fc3f27f-4caa-58a4-95c6-171b07024325
https://openalex.org/W3104379763,https://doi.org/10.5334/joh.20,Flat-Field and Colour Correction for the Raspberry Pi Camera Module,Flat-Field and Colour Correction for the Raspberry Pi Camera Module,Richard Bowman; Boyko Vodenicharski; Joel T. Collins; Julian Stirling,University of Bath; University of Cambridge; University of Bath; University of Bath,2020,2020-01-01,en,article,23,1.819,"['https://openalex.org/W3016532020', 'https://openalex.org/W3104379763']",False,gold,2025-08-21T04:01:58.532274,2020-11-23,Advanced Vision and Imaging,Computer Science,Computer Vision and Pattern Recognition,Physical Sciences,cc-by,,10.5334/joh.20,joh,f06049f0-f313-58f8-966e-967db5e02e4f
